timestamp_s,echo_displacement_samples,optic_flow_y_px_per_frame,mean_brightness,ppg_reference_0_1,beat_marker,icp_proxy_z
0.66,-0.29612,-0.06667,125.576,0.0006,0,-1.86376
0.68,-0.26797,-0.10158,125.49,0.0054,0,-1.93374
0.7,-0.31698,-0.09292,124.902,0.0302,0,-2.14141
0.72,-0.282,-0.0883,123.339,0.0748,0,-2.03735
0.74,-0.22603,-0.06638,124.862,0.1381,0,-1.57806
0.76,-0.21484,-0.04864,125.804,0.2175,0,-1.37818
0.78,-0.14462,-0.06145,125.96,0.3096,0,-1.11902
0.8,-0.0756,-0.03493,127.771,0.4101,0,-0.55893
0.82,-0.01406,-0.00074,127.521,0.5143,0,-0.09905
0.84,0.01038,0.00462,127.761,0.6174,0,0.05566
0.86,0.08945,0.00848,130.226,0.7144,0,0.56999
0.88,0.15566,0.04965,130.02,0.8014,1,1.09258
0.9,0.10437,0.04964,129.924,0.8747,0,0.85203
0.92,0.17453,0.05268,130.612,0.932,0,1.22726
0.94,0.1574,0.04148,130.737,0.972,0,1.09277
0.96,0.13458,0.05837,130.114,0.9943,0,1.04934
0.98,0.19508,0.04145,127.807,1.0,0,1.1113
1.0,0.15963,0.05611,129.178,0.9909,0,1.10249
1.02,0.10881,0.03147,129.331,0.9695,0,0.73991
1.04,0.14197,0.03256,128.925,0.9388,0,0.87682
1.06,0.1581,0.04636,129.915,0.9021,0,1.07994
1.08,0.14312,0.03675,130.761,0.8623,0,1.00208
1.1,0.16758,0.05409,129.452,0.8221,0,1.14215
1.12,0.14814,0.04889,128.923,0.7835,0,0.9961
1.14,0.16116,0.03307,131.388,0.7476,0,1.09745
1.16,0.17016,0.04188,129.279,0.715,0,1.07678
1.18,0.10269,0.03232,128.475,0.6852,0,0.67145
1.2,0.10711,0.04217,129.437,0.6571,0,0.7973
1.22,0.07176,0.01787,129.359,0.6291,0,0.49548
1.24,0.06838,0.01465,128.233,0.5995,0,0.40271
1.26,0.01906,0.02943,129.228,0.5663,0,0.3111
1.28,0.01972,0.03731,128.028,0.528,0,0.29488
1.3,0.01589,0.03034,127.516,0.4835,0,0.21145
1.32,0.02932,0.00285,128.227,0.4324,0,0.15727
1.34,0.01881,-0.00038,128.497,0.3752,0,0.10525
1.36,-0.06448,0.00881,127.109,0.3134,0,-0.2989
1.38,-0.07927,-0.01964,127.538,0.2492,0,-0.50284
1.4,-0.0781,-0.04052,126.773,0.1855,0,-0.65416
1.42,-0.18473,-0.03982,128.611,0.1258,0,-1.04296
1.44,-0.19028,-0.04919,125.249,0.0739,0,-1.29769
1.46,-0.22412,-0.07769,126.398,0.0335,0,-1.55143
1.48,-0.2277,-0.09893,124.791,0.008,0,-1.77095
1.5,-0.26897,-0.10469,124.4,0.0,0,-2.01306
1.52,-0.30699,-0.08332,124.925,0.0114,0,-2.04075
1.54,-0.30344,-0.099,125.119,0.0429,0,-2.10174
1.56,-0.27797,-0.08472,125.693,0.094,0,-1.87494
1.58,-0.19453,-0.06853,125.42,0.1629,0,-1.41601
1.6,-0.191,-0.04766,125.316,0.247,0,-1.28893
1.62,-0.12722,-0.04057,126.108,0.3424,0,-0.91495
1.64,-0.04747,-0.01121,127.72,0.4447,0,-0.30033
1.66,0.00105,-0.00944,128.514,0.5491,0,-0.02587
1.68,0.05167,0.01296,129.81,0.6506,0,0.39963
1.7,0.07014,0.01765,129.532,0.7447,1,0.4959
1.72,0.12641,0.05229,130.397,0.8275,0,0.99289
1.74,0.13202,0.0434,130.963,0.8957,0,0.99886
1.76,0.17834,0.03671,129.955,0.9473,0,1.12119
1.78,0.16432,0.04099,128.62,0.9813,0,1.01038
1.8,0.14237,0.04103,128.804,0.998,0,0.91946
1.82,0.15401,0.05036,128.528,0.9985,0,1.0104
1.84,0.12483,0.02159,130.903,0.9849,0,0.84113
1.86,0.15853,0.02796,128.938,0.9601,0,0.92784
1.88,0.13379,0.03638,130.622,0.9271,0,0.94992
1.9,0.15187,0.07234,130.147,0.889,0,1.20835
1.92,0.10827,0.05441,131.09,0.8488,0,0.95796
1.94,0.15043,0.04198,130.535,0.809,0,1.05291
1.96,0.09713,0.05112,129.621,0.7712,0,0.81106
1.98,0.08151,0.06514,129.458,0.7364,0,0.80898
2.0,0.11336,0.03416,129.547,0.7048,0,0.78713
2.02,0.08347,0.02798,129.435,0.6757,0,0.60959
2.04,0.09296,0.04169,128.661,0.6478,0,0.68888
2.06,0.12747,0.02773,128.846,0.6195,0,0.77915
2.08,0.03407,0.02482,129.958,0.5889,0,0.39276
2.1,0.02459,0.00618,127.13,0.5542,0,0.0964
2.12,0.03236,0.03141,128.539,0.5139,0,0.34691
2.14,0.02725,0.02507,127.457,0.4672,0,0.23113
2.16,-0.00285,0.00727,128.169,0.414,0,0.03117
2.18,-0.02006,0.00366,128.49,0.3551,0,-0.05105
2.2,-0.01874,-0.03542,127.51,0.2921,0,-0.31445
2.22,-0.05071,-0.01181,127.84,0.2277,0,-0.31222
2.24,-0.12286,-0.03197,125.542,0.1649,0,-0.8768
2.26,-0.13674,-0.03597,127.239,0.1074,0,-0.87347
2.28,-0.17323,-0.04501,125.389,0.059,0,-1.18874
2.3,-0.23758,-0.06863,125.916,0.0232,0,-1.58808
2.32,-0.23525,-0.09415,125.191,0.0032,0,-1.75785
2.34,-0.28301,-0.07551,122.735,0.0016,0,-2.00252
2.36,-0.24311,-0.09061,124.127,0.0197,0,-1.83024
2.38,-0.25269,-0.08265,125.029,0.0578,0,-1.78232
2.4,-0.22965,-0.07811,126.409,0.1151,0,-1.57853
2.42,-0.20719,-0.06289,125.878,0.1895,0,-1.41862
2.44,-0.14564,-0.07131,126.462,0.2778,0,-1.15224
2.46,-0.13727,-0.01208,125.802,0.376,0,-0.81836
2.48,-0.05978,-0.00658,128.76,0.4795,0,-0.27621
2.5,0.02909,0.01945,129.69,0.5834,0,0.32589
2.52,0.01015,0.04312,128.797,0.683,0,0.32381
2.54,0.11729,0.02964,128.999,0.7738,1,0.75117
2.56,0.07395,0.0143,128.142,0.852,0,0.42156
2.58,0.14758,0.02859,130.279,0.9148,0,0.95169
2.6,0.1103,0.02568,131.768,0.9606,0,0.84279
2.62,0.14831,0.03334,130.148,0.9888,0,0.97467
2.64,0.12714,0.0388,130.525,0.9999,0,0.92777
2.66,0.08071,0.01237,129.89,0.9954,0,0.53386
2.68,0.1476,0.03967,128.634,0.9778,0,0.92696
2.7,0.15228,0.01739,130.49,0.9499,0,0.92198
2.72,0.11668,0.03972,128.459,0.9148,0,0.7761
2.74,0.11457,0.03579,129.315,0.8757,0,0.78958
2.76,0.11986,0.03408,129.737,0.8354,0,0.82651
2.78,0.09961,0.03701,130.222,0.7961,0,0.77542
2.8,0.14807,0.03037,129.807,0.7592,0,0.93904
2.82,0.09962,0.02724,129.693,0.7255,0,0.69317
2.84,0.10077,0.01099,128.638,0.6948,0,0.55227
2.86,0.06831,0.02658,128.046,0.6663,0,0.45901
2.88,0.05724,0.04442,128.94,0.6385,0,0.55473
2.9,0.02579,0.04141,128.137,0.6097,0,0.35131
2.92,0.07519,0.02923,127.489,0.5779,0,0.47609
2.94,0.02759,0.01808,127.372,0.5414,0,0.18918
2.96,0.04452,-0.00189,127.857,0.499,0,0.18115
2.98,0.00976,0.02019,126.633,0.4501,0,0.08026
3.0,-0.02044,-0.00161,126.884,0.3949,0,-0.16671
3.02,-0.02711,-0.00661,126.46,0.3344,0,-0.24754
3.04,-0.05364,-0.0156,127.661,0.2707,0,-0.35617
3.06,-0.06561,-0.019,127.522,0.2064,0,-0.43743
3.08,-0.10641,-0.03487,128.42,0.145,0,-0.6659
3.1,-0.13909,-0.04121,125.194,0.0901,0,-1.02117
3.12,-0.20112,-0.06394,125.419,0.0455,0,-1.42073
3.14,-0.21877,-0.06517,126.303,0.0146,0,-1.46208
3.16,-0.18217,-0.04093,125.095,0.0006,0,-1.22254
3.18,-0.25464,-0.07351,124.831,0.0054,0,-1.75077
3.2,-0.26539,-0.0759,126.446,0.0302,0,-1.72837
3.22,-0.21742,-0.06262,124.969,0.0748,0,-1.51192
3.24,-0.16363,-0.05225,124.645,0.1381,0,-1.22424
3.26,-0.19641,-0.06227,124.99,0.2175,0,-1.41242
3.28,-0.11833,-0.03705,126.886,0.3096,0,-0.81355
3.3,-0.07818,-0.00804,127.482,0.4101,0,-0.4361
3.32,-0.05646,-0.00056,126.751,0.5143,0,-0.33325
3.34,0.0509,0.0114,127.609,0.6174,0,0.27149
3.36,0.06876,0.03984,129.275,0.7144,0,0.59977
3.38,0.09805,0.02128,129.638,0.8014,1,0.64989
3.4,0.09423,0.03553,128.867,0.8747,0,0.67119
3.42,0.13219,0.03068,129.975,0.932,0,0.8767
3.44,0.10834,0.05511,129.946,0.972,0,0.90189
3.46,0.11518,0.01286,128.025,0.9943,0,0.59663
3.48,0.08664,0.0269,129.148,1.0,0,0.60298
3.5,0.08038,0.0275,129.686,0.9909,0,0.60595
3.52,0.14277,0.04138,128.878,0.9695,0,0.92721
3.54,0.09776,0.04102,127.639,0.9388,0,0.65327
3.56,0.12059,0.05136,129.158,0.9021,0,0.89576
3.58,0.11579,0.01675,130.027,0.8623,0,0.72654
3.6,0.1078,0.04531,130.717,0.8221,0,0.88542
3.62,0.10569,0.03265,127.694,0.7835,0,0.64595
3.64,0.13005,0.02694,131.488,0.7476,0,0.9257
3.66,0.09875,0.03896,128.398,0.715,0,0.68629
3.68,0.09107,0.01794,129.925,0.6852,0,0.61433
3.7,0.08163,-0.00015,129.978,0.6571,0,0.4729
3.72,0.09575,0.01583,129.597,0.6291,0,0.60677
3.74,0.06902,-0.00208,128.755,0.5995,0,0.33983
3.76,0.04852,0.00412,127.547,0.5663,0,0.21671
3.78,0.01331,0.01283,128.836,0.528,0,0.17153
3.8,-0.01785,0.00885,127.632,0.4835,0,-0.05713
3.82,0.02925,0.02073,126.049,0.4324,0,0.14198
3.84,0.01623,-0.00482,130.166,0.3752,0,0.15656
3.86,-0.02894,-0.02617,128.256,0.3134,0,-0.27042
3.88,-0.03472,-0.02382,128.865,0.2492,0,-0.25179
3.9,-0.05731,-0.03451,126.331,0.1855,0,-0.54851
3.92,-0.08958,-0.04833,127.825,0.1258,0,-0.69502
3.94,-0.12367,-0.0396,127.479,0.0739,0,-0.82105
3.96,-0.19406,-0.06356,127.011,0.0335,0,-1.30238
3.98,-0.17648,-0.08922,125.363,0.008,0,-1.45153
4.0,-0.26887,-0.06427,124.133,0.0,0,-1.80129
4.02,-0.22765,-0.07748,124.812,0.0114,0,-1.64998
4.04,-0.23408,-0.07102,123.226,0.0429,0,-1.72701
4.06,-0.20674,-0.06857,123.845,0.094,0,-1.55528
4.08,-0.1496,-0.05249,125.671,0.1629,0,-1.10714
4.1,-0.11596,-0.04632,125.336,0.247,0,-0.93597
4.12,-0.13068,-0.01635,126.621,0.3424,0,-0.76877
4.14,-0.09047,-0.00964,127.323,0.4447,0,-0.50985
4.16,0.02392,0.00577,129.587,0.5491,0,0.22047
4.18,0.02365,0.0199,129.637,0.6506,0,0.30055
4.2,0.08499,0.00858,129.007,0.7447,1,0.48587
4.22,0.13187,0.0319,130.322,0.8275,0,0.90039
4.24,0.08483,0.03536,128.915,0.8957,0,0.62961
4.26,0.07925,0.04282,129.344,0.9473,0,0.66816
4.28,0.13816,0.02393,130.338,0.9813,0,0.88557
4.3,0.12904,0.0587,128.57,0.998,0,0.94449
4.32,0.11742,0.03901,129.287,0.9985,0,0.81912
4.34,0.12165,0.02234,128.418,0.9849,0,0.6999
4.36,0.09889,0.01628,129.566,0.9601,0,0.62201
4.38,0.08483,0.03411,130.805,0.9271,0,0.72218
4.4,0.12235,0.03758,128.945,0.889,0,0.81577
4.42,0.10602,0.0312,129.773,0.8488,0,0.74884
4.44,0.09116,0.04151,128.898,0.809,0,0.69206
4.46,0.14343,0.03227,128.679,0.7712,0,0.86891
4.48,0.12351,0.04483,128.54,0.7364,0,0.8402
4.5,0.12515,0.02644,130.569,0.7048,0,0.85202
4.52,0.07662,0.03051,131.129,0.6757,0,0.68143
4.54,0.06908,0.03788,129.432,0.6478,0,0.59858
4.56,0.04414,0.05198,128.272,0.6195,0,0.50159
4.58,0.03132,0.00425,129.218,0.5889,0,0.22649
4.6,0.04432,0.00648,128.215,0.5542,0,0.24573
4.62,0.00731,-0.00186,128.97,0.5139,0,0.06908
4.64,0.02373,0.01394,128.414,0.4672,0,0.20334
4.66,0.01005,-0.0133,128.243,0.414,0,-0.02036
4.68,0.03562,-0.0104,128.302,0.3551,0,0.11631
4.7,-0.07161,-0.0116,127.087,0.2921,0,-0.44658
4.72,-0.04277,-0.03159,126.882,0.2277,0,-0.43646
4.74,-0.10181,-0.04191,125.406,0.1649,0,-0.84275
4.76,-0.13954,-0.04824,125.945,0.1074,0,-1.02284
4.78,-0.21723,-0.08051,124.65,0.059,0,-1.62755
4.8,-0.23246,-0.08486,125.184,0.0232,0,-1.6936
4.82,-0.23591,-0.08272,124.123,0.0032,0,-1.75334
4.84,-0.27914,-0.08288,124.694,0.0016,0,-1.92268
4.86,-0.28302,-0.08933,124.879,0.0197,0,-1.96671
4.88,-0.28346,-0.10568,123.488,0.0578,0,-2.13312
4.9,-0.22137,-0.08202,124.291,0.1151,0,-1.67391
4.92,-0.20945,-0.05425,124.692,0.1895,0,-1.44328
4.94,-0.21086,-0.04095,126.692,0.2778,0,-1.27021
4.96,-0.11326,-0.03027,128.192,0.376,0,-0.68367
4.98,-0.08403,-0.02128,128.256,0.4795,0,-0.49605
5.0,-0.05903,0.01438,127.993,0.5834,0,-0.19634
5.02,0.05759,0.0147,130.038,0.683,0,0.44852
5.04,0.14144,0.019,128.11,0.7738,1,0.75584
5.06,0.13416,0.03101,130.825,0.852,0,0.93237
5.08,0.11698,0.06208,129.263,0.9148,0,0.94444
5.1,0.12674,0.04856,127.612,0.9606,0,0.82695
5.12,0.17633,0.05915,131.93,0.9888,0,1.34104
5.14,0.14704,0.03797,131.011,0.9999,0,1.04011
5.16,0.13953,0.05353,128.865,0.9954,0,0.97937
5.18,0.13447,0.03428,129.795,0.9778,0,0.89776
5.2,0.13727,0.03976,129.494,0.9499,0,0.92538
5.22,0.15956,0.07244,129.786,0.9148,0,1.22523
5.24,0.15755,0.05313,128.57,0.8757,0,1.0443
5.26,0.15268,0.03899,129.255,0.8354,0,0.97916
5.28,0.12202,0.04423,130.184,0.7961,0,0.91662
5.3,0.15745,0.04812,129.946,0.7592,0,1.08837
5.32,0.11924,0.05619,130.626,0.7255,0,0.99373
5.34,0.15075,0.03184,129.572,0.6948,0,0.94717
5.36,0.07523,0.0118,131.187,0.6663,0,0.57382
5.38,0.08537,0.02378,128.513,0.6385,0,0.54637
5.4,0.07041,0.02176,129.07,0.6097,0,0.49574
5.42,0.02059,0.01772,127.123,0.5779,0,0.14203
5.44,0.08175,0.02763,127.471,0.5414,0,0.49629
5.46,0.06167,0.01149,129.37,0.499,0,0.41417
5.48,8e-05,0.01332,127.388,0.4501,0,0.03732
5.5,0.01547,-0.01438,128.378,0.3949,0,0.00558
5.52,-0.01413,0.00321,127.662,0.3344,0,-0.06989
5.54,-0.11482,0.01004,126.56,0.2707,0,-0.55208
5.56,-0.07609,-0.01589,126.715,0.2064,0,-0.51065
5.58,-0.12321,-0.03414,126.102,0.145,0,-0.86099
5.6,-0.16326,-0.04867,125.589,0.0901,0,-1.15286
5.62,-0.2367,-0.04265,126.039,0.0455,0,-1.43273
5.64,-0.25712,-0.08763,125.462,0.0146,0,-1.80764
5.66,-0.28666,-0.08756,124.089,0.0006,0,-2.01515
5.68,-0.27099,-0.08636,123.599,0.0054,0,-1.96229
5.7,-0.29414,-0.0835,124.529,0.0302,0,-2.00371
5.72,-0.28622,-0.09266,124.423,0.0748,0,-2.02394
5.74,-0.21379,-0.07332,125.742,0.1381,0,-1.51413
5.76,-0.21688,-0.06536,127.643,0.2175,0,-1.38391
5.78,-0.15325,-0.04241,126.92,0.3096,0,-1.00192
5.8,-0.12457,-0.02577,127.005,0.4101,0,-0.77304
5.82,0.02345,-0.01852,127.669,0.5143,0,-0.01817
5.84,0.06537,0.01235,127.819,0.6174,0,0.35429
5.86,0.11087,0.0374,128.35,0.7144,0,0.73071
5.88,0.13874,0.02568,128.689,0.8014,1,0.81117
5.9,0.14593,0.04085,129.434,0.8747,0,0.96798
5.92,0.15828,0.05469,129.527,0.932,0,1.10675
5.94,0.14768,0.03421,130.477,0.972,0,0.99392
5.96,0.14482,0.048,129.513,0.9943,0,1.00691
5.98,0.14549,0.03132,129.604,1.0,0,0.92177
6.0,0.1772,0.05621,128.729,0.9909,0,1.1601
6.02,0.15128,0.06973,130.995,0.9695,0,1.2358
6.04,0.13698,0.06657,130.098,0.9388,0,1.10522
6.06,0.12723,0.04067,131.163,0.9021,0,0.97223
6.08,0.12967,0.05336,130.416,0.8623,0,1.01482
6.1,0.18798,0.04665,130.999,0.8221,0,1.27576
6.12,0.15962,0.04613,129.597,0.7835,0,1.06887
6.14,0.14317,0.0618,130.303,0.7476,0,1.11787
6.16,0.12252,0.02425,131.768,0.715,0,0.89087
6.18,0.08895,0.04832,128.447,0.6852,0,0.69611
6.2,0.09771,0.02978,130.156,0.6571,0,0.72295
6.22,0.10288,0.04166,130.349,0.6291,0,0.8231
6.24,0.05348,0.02159,129.11,0.5995,0,0.41916
6.26,0.04155,0.00636,129.189,0.5663,0,0.2837
6.28,0.02756,0.01344,129.428,0.528,0,0.27149
6.3,0.02282,0.01497,127.709,0.4835,0,0.16776
6.32,-0.03322,0.00245,128.415,0.4324,0,-0.12217
6.34,-0.01534,0.00297,127.174,0.3752,0,-0.10252
6.36,-0.05153,-0.01548,127.078,0.3134,0,-0.37651
6.38,-0.03489,-0.04302,126.798,0.2492,0,-0.46846
6.4,-0.10959,-0.0168,126.779,0.1855,0,-0.66615
6.42,-0.11464,-0.03105,126.542,0.1258,0,-0.78126
6.44,-0.13259,-0.05038,126.284,0.0739,0,-0.98503
6.46,-0.21929,-0.06379,124.255,0.0335,0,-1.56462
6.48,-0.26184,-0.06298,126.605,0.008,0,-1.63168
6.5,-0.26742,-0.08866,125.62,0.0,0,-1.85234
6.52,-0.28384,-0.09519,125.126,0.0114,0,-1.99014
6.54,-0.30391,-0.08753,124.296,0.0429,0,-2.08325
6.56,-0.24584,-0.06437,124.781,0.094,0,-1.66201
6.58,-0.16966,-0.08388,125.759,0.1629,0,-1.36957
6.6,-0.17679,-0.03775,126.255,0.247,0,-1.11899
6.62,-0.11795,-0.04216,125.244,0.3424,0,-0.92679
6.64,-0.07917,-0.02942,127.959,0.4447,0,-0.53474
6.66,0.0118,0.01629,130.437,0.5491,0,0.26822
6.68,0.02205,0.0151,127.136,0.6506,0,0.13479
6.7,0.06437,0.01252,129.941,0.7447,1,0.46234
6.72,0.15088,0.03202,129.756,0.8275,0,0.95843
6.74,0.11151,0.05216,129.548,0.8957,0,0.87908
6.76,0.16675,0.057,130.833,0.9473,0,1.22727
6.78,0.17658,0.03718,128.722,0.9813,0,1.05074
6.8,0.14014,0.04571,129.767,0.998,0,0.98607
6.82,0.14208,0.04776,130.769,0.9985,0,1.05913
6.84,0.17324,0.03029,129.359,0.9849,0,1.03056
6.86,0.1184,0.04194,129.164,0.9601,0,0.83347
6.88,0.10999,0.03775,129.62,0.9271,0,0.79553
6.9,0.09404,0.03264,129.197,0.889,0,0.67156
6.92,0.13187,0.03407,130.87,0.8488,0,0.94128
6.94,0.16886,0.0411,128.866,0.809,0,1.04478
6.96,0.15355,0.03995,130.301,0.7712,0,1.04361
6.98,0.0995,0.03081,128.475,0.7364,0,0.64841
7.0,0.09101,0.02923,129.924,0.7048,0,0.67693
7.02,0.08582,0.04343,129.117,0.6757,0,0.68974
7.04,0.08982,0.02778,126.884,0.6478,0,0.50328
7.06,0.0611,0.03086,128.805,0.6195,0,0.48977
7.08,0.05629,0.02998,127.745,0.5889,0,0.40697
7.1,0.04472,0.01846,128.091,0.5542,0,0.30786
7.12,0.01779,0.03497,129.574,0.5139,0,0.35439
7.14,0.01284,-0.00567,127.25,0.4672,0,-0.01728
7.16,0.00661,0.01014,127.146,0.414,0,0.03677
7.18,-0.01594,-0.00805,129.016,0.3551,0,-0.06969
7.2,-0.02112,0.01197,127.683,0.2921,0,-0.05202
7.22,-0.01239,0.00233,128.545,0.2277,0,-0.02033
7.24,-0.07532,-0.05099,127.165,0.1649,0,-0.67914
7.26,-0.12383,-0.04989,125.744,0.1074,0,-0.97051
7.28,-0.20401,-0.04148,125.967,0.059,0,-1.27995
7.3,-0.18675,-0.05055,126.61,0.0232,0,-1.21736
7.32,-0.27363,-0.0599,126.024,0.0032,0,-1.69918
7.34,-0.27878,-0.07527,125.024,0.0016,0,-1.86118
7.36,-0.2278,-0.07067,124.995,0.0197,0,-1.60309
7.38,-0.22246,-0.06553,124.973,0.0578,0,-1.55106
7.4,-0.22013,-0.06705,124.88,0.1151,0,-1.55375
7.42,-0.22246,-0.04258,127.392,0.1895,0,-1.29574
7.44,-0.14266,-0.06787,126.376,0.2778,0,-1.12391
7.46,-0.09868,-0.01736,126.071,0.376,0,-0.65653
7.48,-0.01358,-0.02142,127.247,0.4795,0,-0.22653
7.5,0.07522,0.01724,128.827,0.5834,0,0.47981
7.52,0.0649,0.01543,129.255,0.683,0,0.4449
7.54,0.07087,0.01694,128.991,0.7738,1,0.46685
7.56,0.08141,0.0383,128.803,0.852,0,0.6244
7.58,0.11984,0.02611,129.501,0.9148,0,0.76958
7.6,0.11961,0.02694,128.139,0.9606,0,0.70147
7.62,0.09295,0.01839,128.417,0.9888,0,0.54606
7.64,0.12013,0.0355,130.09,0.9999,0,0.85426
7.66,0.08414,0.04046,128.986,0.9954,0,0.65862
7.68,0.13828,0.04603,129.659,0.9778,0,0.97359
7.7,0.1371,0.03207,130.353,0.9499,0,0.9269
7.72,0.13983,0.04701,129.912,0.9148,0,0.99951
7.74,0.104,0.03562,129.433,0.8757,0,0.74629
7.76,0.13125,0.03505,131.197,0.8354,0,0.96115
7.78,0.11543,0.04316,130.0,0.7961,0,0.87069
7.8,0.10599,0.04806,129.123,0.7592,0,0.80842
7.82,0.10033,0.02915,129.932,0.7255,0,0.71966
7.84,0.06579,0.02711,129.537,0.6948,0,0.5289
7.86,0.04896,0.02406,128.336,0.6663,0,0.37144
7.88,0.09034,0.02253,128.921,0.6385,0,0.58369
7.9,0.05116,0.00629,128.548,0.6097,0,0.29361
7.92,0.04791,0.02532,126.902,0.5779,0,0.29815
7.94,0.05564,0.00454,128.232,0.5414,0,0.28781
7.96,-0.02346,0.01162,128.01,0.499,0,-0.04752
7.98,-0.01039,-0.00709,127.752,0.4501,0,-0.10543
8.0,0.00137,0.00338,126.61,0.3949,0,-0.05318
8.02,-0.00879,-0.00098,127.481,0.3344,0,-0.07832
8.04,-0.04842,-0.01696,127.491,0.2707,0,-0.34877
8.06,-0.03916,0.00442,127.291,0.2064,0,-0.19761
8.08,-0.09064,-0.02485,125.894,0.145,0,-0.67064
8.1,-0.16069,-0.01851,126.927,0.0901,0,-0.90245
8.12,-0.18874,-0.03905,124.978,0.0455,0,-1.2484
8.14,-0.17751,-0.06834,125.4,0.0146,0,-1.33785
8.16,-0.21136,-0.07271,126.348,0.0006,0,-1.46771
8.18,-0.28529,-0.06743,124.524,0.0054,0,-1.87371
8.2,-0.20584,-0.07246,124.652,0.0302,0,-1.53029
8.22,-0.2119,-0.06872,126.11,0.0748,0,-1.46051
8.24,-0.16657,-0.06459,125.238,0.1381,0,-1.27532
8.26,-0.1711,-0.07105,125.782,0.2175,0,-1.30351
8.28,-0.1218,-0.03766,126.784,0.3096,0,-0.83827
8.3,-0.09139,-0.04594,128.09,0.4101,0,-0.67602
8.32,0.05079,0.0006,126.034,0.5143,0,0.12782
8.34,0.02873,0.00141,127.724,0.6174,0,0.12006
8.36,0.11046,0.01304,128.037,0.7144,0,0.57657
8.38,0.08228,0.02745,128.312,0.8014,1,0.54204
8.4,0.11997,0.03868,128.714,0.8747,0,0.79878
8.42,0.08233,0.02074,128.828,0.932,0,0.53203
8.44,0.11583,0.01733,129.78,0.972,0,0.71697
8.46,0.1471,0.02464,128.768,0.9943,0,0.84792
8.48,0.08691,0.01162,129.545,1.0,0,0.53996
8.5,0.14156,0.02346,129.732,0.9909,0,0.86667
8.52,0.12196,0.05378,128.789,0.9695,0,0.89608
8.54,0.08875,0.02241,129.511,0.9388,0,0.60677
8.56,0.10551,0.04389,130.785,0.9021,0,0.87054
8.58,0.11028,0.02074,129.752,0.8623,0,0.70903
8.6,0.12304,0.04156,128.997,0.8221,0,0.84386
8.62,0.11063,0.03406,129.463,0.7835,0,0.76962
8.64,0.09928,0.03594,128.716,0.7476,0,0.68866
8.66,0.10414,0.04097,129.588,0.715,0,0.78494
8.68,0.07422,0.0516,129.927,0.6852,0,0.72469
8.7,0.05327,0.02846,128.375,0.6571,0,0.41783
8.72,0.06888,0.02291,128.685,0.6291,0,0.47483
8.74,0.07709,0.00513,129.582,0.5995,0,0.46066
8.76,0.00304,0.01961,128.098,0.5663,0,0.12332
8.78,0.02916,0.00593,128.509,0.528,0,0.18857
8.8,0.00149,0.01541,127.38,0.4835,0,0.05495
8.82,-0.01856,0.00127,127.402,0.4324,0,-0.11475
8.84,0.01289,0.01831,127.478,0.3752,0,0.12861
8.86,-0.04006,-0.03208,129.41,0.3134,0,-0.29365
8.88,-0.01406,-0.0193,127.043,0.2492,0,-0.22768
8.9,-0.10161,-0.01451,126.572,0.1855,0,-0.62765
8.92,-0.10837,-0.04027,126.107,0.1258,0,-0.82685
